text,updateDt
"Jung jun young dan Seungri. Jangan berpikir untuk tinggal di Indonesia. Ah... Theblacklabel bisnis terbarunya ya. Seungri kukira kau masih ada di bali. Wah jadi dukun MHJ, MHJ, burning sun dan theblacklabel? Seriusly? Kalian butuh saya? Ah... Aku benci seseorang yang menjadi biang prostitusi. Apakah kota mati Indonesia di sumatra incaran kalian bikin club setan kalian? Aku harap tulisan ini tidak di hapus. Bang Yusril. 😊",2024-05-23
Klo ini org masuk ke pasar Indonesia mening di boikot aja deh…sampah,2024-05-23
Dua predator berlenggang ria setelah bebas 👏👏👏 hahahah...,2024-05-23
Iiih jangan k indo deh ngeri gmna nnti klok ada cewek indo juga yg jadi korban nya,2024-05-23
"JJY pernah mempromosikan Bali di suatu TV show Korea. Dimana dia bertugas mengatur tempat wisata dan makanan di Bali bagi rekan2 TV show nya itu(Lupa nama show nya). Dan dia begitu bangga karena pernah tinggal di Indonesia.
Seungri juga pernah mempromosikan Bali juga. Di acara TV show Korea (My Little Boys/ugly duckling), dia menjamu salah satu rekan acara TV nya di Bali. Seungri mendapat perlakuan VVIP di tempat penginapan dan suatu beach klub.",2024-05-23
Apapun skandalnya kalo di indo tetap diundang ke tv²😅,2024-05-23
"Cancel ja tu smua yg di burning sun.. Klo ga dhukum di dunia, psti uda di burning di neraka.. Ga mikir gmn trauma korban😢",2024-05-23
Sakit kalo sampai orang biadab & jahat ini di kasih tempat+ sampai tampil di TV inget mereka UDh ngancurin mental & masa depan bnyk wanita tolong cuekin penjahat kelamin ini,2024-05-23
"Apapun penjahatnya,.pasti tampil di televisi indo. Warga norak, viral bukan prestasi,malah skandal di up sampe jadi artist. Bgtu lah negri ini.",2024-05-23
Gw berharap seungri joon jung young dan choi joon hoon tdk di trima di indonesia penjahat kelamin ga di trima di indonesia,2024-05-23
"Mọi người ơi xin lũi mọi người vì đã mang lại những trải nghiệm không tốt! Video sau mình cố gắng học thuộc nha!
Còn về độ dài, thì mình muốn đăng nhanh nhất cho mọi người nên chắc không làm quá dài được vì mình đang đảm nhận cả biên tập, quay, edit video…! 
Cảm ơn mọi người❤",2024-05-23
"Đọc vietsub không nổi, may quá có bà voice cho tui nghe 😂 đi tắm nghe cũm được",2024-05-27
Công đức vô lượng bà đẹp ơi 😂 lần đầu hóng dưa k phải của Tung Của nên k tự sub đc 😅,2024-05-25
"đúng là bọn rẻ rách, nhiều tiền rửng mỡ đồi trụy",2024-05-25
"Pháp luật hàn quốc củ lổ sỉ vãi , hàn quốc toxic vãi",2024-05-25
Chị ỉu diễn thoại hay quá coi cuốn. Theo em dx biết e ở Hàn thì chính phủ luật bên đây như quần vì có tiền là thoát tội. Nên ông nói kia dc thoát tội cộng đồng tức lắm,2024-05-25
❤,2024-05-25
Bạn làm những content này là hợp lý.đi đúng hướng đấy.nhiều chương trình hay nhiều vụ bên hàn.muốn hóng mà ko biết tiếng.chúc bạn thành công nha.ủng hộ,2024-05-24
Vụ này mà ở Việt Nam hay một số nước khác thì Seungri Jung Joon young... bị tử hình,2024-05-24
Coi mới thấy trong Big Bang chỉ có Taeyang trong sạch à,2024-05-24
Từ top top qua để hóng ạ,2024-05-24
